"","Country","Lat","Long","date","val"
"1","Thailand",15,101,2020-01-22,2
"2","Japan",36,138,2020-01-22,2
"3","Singapore",1.2833,103.8333,2020-01-22,0
"4","Nepal",28.1667,84.25,2020-01-22,0
"5","Malaysia",2.5,112.5,2020-01-22,0
"6","Canada",49.2827,-123.1207,2020-01-22,0
"7","Australia",-33.8688,151.2093,2020-01-22,0
"8","Australia",-37.8136,144.9631,2020-01-22,0
"9","Australia",-28.0167,153.4,2020-01-22,0
"10","Cambodia",11.55,104.9167,2020-01-22,0
"11","Sri Lanka",7,81,2020-01-22,0
"12","Germany",51,9,2020-01-22,0
"13","Finland",64,26,2020-01-22,0
"14","United Arab Emirates",24,54,2020-01-22,0
"15","Philippines",13,122,2020-01-22,0
"16","India",21,78,2020-01-22,0
"17","Italy",43,12,2020-01-22,0
"18","Sweden",63,16,2020-01-22,0
"19","Spain",40,-4,2020-01-22,0
"20","Australia",-34.9285,138.6007,2020-01-22,0
"21","Belgium",50.8333,4,2020-01-22,0
"22","Egypt",26,30,2020-01-22,0
"23","Australia",35.4437,139.638,2020-01-22,0
"24","Lebanon",33.8547,35.8623,2020-01-22,0
"25","Iraq",33,44,2020-01-22,0
"26","Oman",21,57,2020-01-22,0
"27","Afghanistan",33,65,2020-01-22,0
"28","Bahrain",26.0275,50.55,2020-01-22,0
"29","Kuwait",29.5,47.75,2020-01-22,0
"30","Algeria",28.0339,1.6596,2020-01-22,0
"31","Croatia",45.1,15.2,2020-01-22,0
"32","Switzerland",46.8182,8.2275,2020-01-22,0
"33","Austria",47.5162,14.5501,2020-01-22,0
"34","Israel",31,35,2020-01-22,0
"35","Pakistan",30.3753,69.3451,2020-01-22,0
"36","Brazil",-14.235,-51.9253,2020-01-22,0
"37","Georgia",42.3154,43.3569,2020-01-22,0
"38","Greece",39.0742,21.8243,2020-01-22,0
"39","North Macedonia",41.6086,21.7453,2020-01-22,0
"40","Norway",60.472,8.4689,2020-01-22,0
"41","Romania",45.9432,24.9668,2020-01-22,0
"42","Estonia",58.5953,25.0136,2020-01-22,0
"43","Netherlands",52.1326,5.2913,2020-01-22,0
"44","San Marino",43.9424,12.4578,2020-01-22,0
"45","Belarus",53.7098,27.9534,2020-01-22,0
"46","Iceland",64.9631,-19.0208,2020-01-22,0
"47","Lithuania",55.1694,23.8813,2020-01-22,0
"48","Mexico",23.6345,-102.5528,2020-01-22,0
"49","New Zealand",-40.9006,174.886,2020-01-22,0
"50","Nigeria",9.082,8.6753,2020-01-22,0
"51","Australia",-31.9505,115.8605,2020-01-22,0
"52","Ireland",53.1424,-7.6921,2020-01-22,0
"53","Luxembourg",49.8153,6.1296,2020-01-22,0
"54","Monaco",43.7333,7.4167,2020-01-22,0
"55","Qatar",25.3548,51.1839,2020-01-22,0
"56","Ecuador",-1.8312,-78.1834,2020-01-22,0
"57","Azerbaijan",40.1431,47.5769,2020-01-22,0
"58","Armenia",40.0691,45.0382,2020-01-22,0
"59","Dominican Republic",18.7357,-70.1627,2020-01-22,0
"60","Indonesia",-0.7893,113.9213,2020-01-22,0
"61","Portugal",39.3999,-8.2245,2020-01-22,0
"62","Andorra",42.5063,1.5218,2020-01-22,0
"63","Australia",-41.4545,145.9707,2020-01-22,0
"64","Latvia",56.8796,24.6032,2020-01-22,0
"65","Morocco",31.7917,-7.0926,2020-01-22,0
"66","Saudi Arabia",24,45,2020-01-22,0
"67","Senegal",14.4974,-14.4524,2020-01-22,0
"68","Argentina",-38.4161,-63.6167,2020-01-22,0
"69","Chile",-35.6751,-71.543,2020-01-22,0
"70","Jordan",31.24,36.51,2020-01-22,0
"71","Ukraine",48.3794,31.1656,2020-01-22,0
"72","Hungary",47.1625,19.5033,2020-01-22,0
"73","Australia",-12.4634,130.8456,2020-01-22,0
"74","Liechtenstein",47.14,9.55,2020-01-22,0
"75","Poland",51.9194,19.1451,2020-01-22,0
"76","Tunisia",34,9,2020-01-22,0
"77","Bosnia and Herzegovina",43.9159,17.6791,2020-01-22,0
"78","Slovenia",46.1512,14.9955,2020-01-22,0
"79","South Africa",-30.5595,22.9375,2020-01-22,0
"80","Bhutan",27.5142,90.4336,2020-01-22,0
"81","Cameroon",3.848,11.5021,2020-01-22,0
"82","Colombia",4.5709,-74.2973,2020-01-22,0
"83","Costa Rica",9.7489,-83.7534,2020-01-22,0
"84","Peru",-9.19,-75.0152,2020-01-22,0
"85","Serbia",44.0165,21.0059,2020-01-22,0
"86","Slovakia",48.669,19.699,2020-01-22,0
"87","Togo",8.6195,0.8248,2020-01-22,0
"88","Malta",35.9375,14.3754,2020-01-22,0
"89","Martinique",14.6415,-61.0242,2020-01-22,0
"90","Bulgaria",42.7339,25.4858,2020-01-22,0
"91","Maldives",3.2028,73.2207,2020-01-22,0
"92","Bangladesh",23.685,90.3563,2020-01-22,0
"93","Paraguay",-23.4425,-58.4438,2020-01-22,0
"94","Canada",51.2538,-85.3232,2020-01-22,0
"95","Canada",53.9333,-116.5765,2020-01-22,0
"96","Canada",52.9399,-73.5491,2020-01-22,0
"97","Albania",41.1533,20.1683,2020-01-22,0
"98","Cyprus",35.1264,33.4299,2020-01-22,0
"99","Brunei",4.5353,114.7277,2020-01-22,0
"100","US",47.4009,-121.4905,2020-01-22,0
"101","US",42.1657,-74.9481,2020-01-22,0
"102","US",36.1162,-119.6816,2020-01-22,0
"103","US",42.2302,-71.5301,2020-01-22,0
"104","US",35.4437,139.638,2020-01-22,0
"105","US",37.6489,-122.6655,2020-01-22,0
"106","US",33.0406,-83.6431,2020-01-22,0
"107","US",39.0598,-105.3111,2020-01-22,0
"108","US",27.7663,-81.6868,2020-01-22,0
"109","US",40.2989,-74.521,2020-01-22,0
"110","US",44.572,-122.0709,2020-01-22,0
"111","US",31.0545,-97.5635,2020-01-22,0
"112","US",40.3495,-88.9861,2020-01-22,0
"113","US",40.5908,-77.2098,2020-01-22,0
"114","US",42.0115,-93.2105,2020-01-22,0
"115","US",39.0639,-76.8021,2020-01-22,0
"116","US",35.6301,-79.8064,2020-01-22,0
"117","US",33.8569,-80.945,2020-01-22,0
"118","US",35.7478,-86.6923,2020-01-22,0
"119","US",37.7693,-78.17,2020-01-22,0
"120","US",33.7298,-111.4312,2020-01-22,0
"121","US",39.8494,-86.2583,2020-01-22,0
"122","US",37.6681,-84.6701,2020-01-22,0
"123","US",38.8974,-77.0268,2020-01-22,0
"124","US",38.3135,-117.0554,2020-01-22,0
"125","US",43.4525,-71.5639,2020-01-22,0
"126","US",45.6945,-93.9002,2020-01-22,0
"127","US",41.1254,-98.2681,2020-01-22,0
"128","US",40.3888,-82.7649,2020-01-22,0
"129","US",41.6809,-71.5118,2020-01-22,0
"130","US",44.2685,-89.6165,2020-01-22,0
"131","US",41.5978,-72.7554,2020-01-22,0
"132","US",21.0943,-157.4983,2020-01-22,0
"133","US",35.5653,-96.9289,2020-01-22,0
"134","US",40.15,-111.8624,2020-01-22,0
"135","Burkina Faso",12.2383,-1.5616,2020-01-22,0
"136","Holy See",41.9029,12.4534,2020-01-22,0
"137","Mongolia",46.8625,103.8467,2020-01-22,0
"138","Panama",8.538,-80.7821,2020-01-22,0
"139","US",38.5266,-96.7265,2020-01-22,0
"140","US",31.1695,-91.8678,2020-01-22,0
"141","US",38.4561,-92.2884,2020-01-22,0
"142","US",44.0459,-72.7107,2020-01-22,0
"143","US",61.3707,-152.4044,2020-01-22,0
"144","US",34.9697,-92.3731,2020-01-22,0
"145","US",39.3185,-75.5071,2020-01-22,0
"146","US",44.2405,-114.4788,2020-01-22,0
"147","US",44.6939,-69.3819,2020-01-22,0
"148","US",43.3266,-84.5361,2020-01-22,0
"149","US",32.7416,-89.6787,2020-01-22,0
"150","US",46.9219,-110.4544,2020-01-22,0
"151","US",34.8405,-106.2485,2020-01-22,0
"152","US",47.5289,-99.784,2020-01-22,0
"153","US",44.2998,-99.4388,2020-01-22,0
"154","US",38.4912,-80.9545,2020-01-22,0
"155","US",42.756,-107.3025,2020-01-22,0
"156","China",30.9756,112.2707,2020-01-22,444
"157","Iran",32,53,2020-01-22,0
"158","Korea, South",36,128,2020-01-22,1
"159","France",46.2276,2.2137,2020-01-22,0
"160","China",23.3417,113.4244,2020-01-22,26
"161","China",33.882,113.614,2020-01-22,5
"162","China",29.1832,120.0934,2020-01-22,10
"163","China",27.6104,111.7088,2020-01-22,4
"164","China",31.8257,117.2264,2020-01-22,1
"165","China",27.614,115.7221,2020-01-22,2
"166","China",36.3427,118.1498,2020-01-22,2
"167","Cruise Ship",35.4437,139.638,2020-01-22,0
"168","China",32.9711,119.455,2020-01-22,1
"169","China",30.0572,107.874,2020-01-22,6
"170","China",30.6171,102.7103,2020-01-22,5
"171","China",47.862,127.7615,2020-01-22,0
"172","Denmark",56.2639,9.5018,2020-01-22,0
"173","China",40.1824,116.4142,2020-01-22,14
"174","China",31.202,121.4491,2020-01-22,9
"175","China",39.549,116.1306,2020-01-22,1
"176","China",26.0789,117.9874,2020-01-22,1
"177","China",23.8298,108.7881,2020-01-22,2
"178","China",35.1917,108.8701,2020-01-22,0
"179","China",24.974,101.487,2020-01-22,1
"180","China",19.1959,109.7453,2020-01-22,4
"181","China",26.8154,106.8748,2020-01-22,1
"182","China",39.3054,117.323,2020-01-22,4
"183","China",37.5777,112.2922,2020-01-22,1
"184","China",37.8099,101.0583,2020-01-22,0
"185","China",22.3,114.2,2020-01-22,0
"186","China",41.2956,122.6085,2020-01-22,2
"187","China",43.6661,126.1923,2020-01-22,0
"188","Czechia",49.8175,15.473,2020-01-22,0
"189","China",41.1129,85.2401,2020-01-22,0
"190","China",44.0935,113.9448,2020-01-22,0
"191","China",37.2692,106.1655,2020-01-22,1
"192","Taiwan*",23.7,121,2020-01-22,1
"193","Vietnam",16,108,2020-01-22,0
"194","Russia",60,90,2020-01-22,0
"195","China",35.7452,95.9956,2020-01-22,0
"196","China",22.1667,113.55,2020-01-22,1
"197","Moldova",47.4116,28.3699,2020-01-22,0
"198","Bolivia",-16.2902,-63.5887,2020-01-22,0
"199","Denmark",61.8926,-6.9118,2020-01-22,0
"200","France",18.0708,-63.0501,2020-01-22,0
"201","Honduras",15.2,-86.2419,2020-01-22,0
"202","United Kingdom",49.3723,-2.3644,2020-01-22,0
"203","Canada",46.5653,-66.4619,2020-01-22,0
"204","China",31.6927,88.0924,2020-01-22,0
"205","Congo (Kinshasa)",-4.0383,21.7587,2020-01-22,0
"206","Cote d'Ivoire",7.54,-5.5471,2020-01-22,0
"207","France",17.9,-62.8333,2020-01-22,0
"208","Jamaica",18.1096,-77.2975,2020-01-22,0
"209","Reunion",-21.1151,55.5364,2020-01-22,0
"210","Turkey",38.9637,35.2433,2020-01-22,0
"211","United Kingdom",36.1408,-5.3536,2020-01-22,0
"212","US",47.6477,-122.6413,2020-01-22,0
"213","US",38.3105,-121.9018,2020-01-22,0
"214","US",37.0454,-121.958,2020-01-22,0
"215","US",38.5025,-122.2654,2020-01-22,0
"216","US",34.3705,-119.1391,2020-01-22,0
"217","US",42.4097,-71.8571,2020-01-22,0
"218","US",33.9191,-84.0167,2020-01-22,0
"219","US",33.7956,-84.2279,2020-01-22,0
"220","US",37.5455,-82.7779,2020-01-22,0
"221","US",33.4502,-84.4803,2020-01-22,0
"222","US",32.4893,-94.8521,2020-01-22,0
"223","US",40.2589,-74.124,2020-01-22,0
"224","US",40.0712,-74.8649,2020-01-22,0
"225","US",39.9259,-75.1196,2020-01-22,0
"226","US",40.8568,-74.1285,2020-01-22,0
"227","US",40.6976,-74.2632,2020-01-22,0
"228","US",39.6553,-106.8287,2020-01-22,0
"229","US",40.6956,-105.5943,2020-01-22,0
"230","US",39.6203,-104.3326,2020-01-22,0
"231","US",38.5458,-106.9253,2020-01-22,0
"232","US",41.9879,-88.4016,2020-01-22,0
"233","US",41.0458,-75.2479,2020-01-22,0
"234","US",39.9526,-75.1652,2020-01-22,0
"235","US",36.8508,-76.2859,2020-01-22,0
"236","US",38.8816,-77.091,2020-01-22,0
"237","US",38.2042,-77.6078,2020-01-22,0
"238","US",39.0768,-77.6536,2020-01-22,0
"239","US",38.7849,-76.8721,2020-01-22,0
"240","US",41.3912,-95.4778,2020-01-22,0
"241","US",34.2465,-80.607,2020-01-22,0
"242","US",32.0575,-111.6661,2020-01-22,0
"243","US",41.4277,-85.355,2020-01-22,0
"244","US",39.8522,-77.2865,2020-01-22,0
"245","US",40.0106,-86.4997,2020-01-22,0
"246","US",43.0186,-89.5498,2020-01-22,0
"247","US",44.7509,-92.3814,2020-01-22,0
"248","US",41.4339,-81.6758,2020-01-22,0
"249","US",41.2603,-111.9522,2020-01-22,0
"250","US",43.0279,-73.135,2020-01-22,0
"251","US",44.8254,-93.7842,2020-01-22,0
"252","US",26.8946,-81.9098,2020-01-22,0
"253","US",34.2515,-84.4803,2020-01-22,0
"254","US",33.1795,-96.493,2020-01-22,0
"255","US",38.1938,-85.6435,2020-01-22,0
"256","US",29.6499,-90.1121,2020-01-22,0
"257","US",40.7909,-121.8474,2020-01-22,0
"258","US",34.8606,-81.9535,2020-01-22,0
"259","US",38.4333,-84.3542,2020-01-22,0
"260","US",41.6699,-91.5984,2020-01-22,0
"261","US",42.3118,-73.1822,2020-01-22,0
"262","US",36.1343,-86.822,2020-01-22,0
"263","US",43.1261,-123.2492,2020-01-22,0
"264","US",36.9859,-119.2321,2020-01-22,0
"265","US",39.5839,-76.3637,2020-01-22,0
"266","US",39.8065,-86.5401,2020-01-22,0
"267","US",40.7453,-74.0535,2020-01-22,0
"268","US",38.8454,-94.8521,2020-01-22,0
"269","US",47.175,-120.9319,2020-01-22,0
"270","US",27.4799,-82.3452,2020-01-22,0
"271","US",44.8446,-122.5927,2020-01-22,0
"272","US",30.5773,-86.6611,2020-01-22,0
"273","US",34.0132,-85.1479,2020-01-22,0
"274","US",33.9533,-117.3961,2020-01-22,0
"275","US",35.1269,-89.9253,2020-01-22,0
"276","US",38.6103,-90.4125,2020-01-22,0
"277","US",40.9849,-72.6151,2020-01-22,0
"278","US",41.8586,-74.3118,2020-01-22,0
"279","US",29.028,-81.0755,2020-01-22,0
"280","US",38.9085,-77.2405,2020-01-22,0
"281","US",42.9931,-71.0498,2020-01-22,0
"282","US",38.9072,-77.0369,2020-01-22,0
"283","US",40.229,-75.3879,2020-01-22,0
"284","US",37.6017,-121.7195,2020-01-22,0
"285","US",26.1901,-80.3659,2020-01-22,0
"286","US",26.663,-81.9535,2020-01-22,0
"287","US",32.8162,-111.2845,2020-01-22,0
"288","US",41.1489,-73.983,2020-01-22,0
"289","US",43.0324,-73.936,2020-01-22,0
"290","US",32.7957,-79.7848,2020-01-22,0
"291","US",45.7466,-122.5194,2020-01-22,0
"292","US",33.8999,-84.5641,2020-01-22,0
"293","US",40.9629,-112.0953,2020-01-22,0
"294","US",38.9108,-104.4723,2020-01-22,0
"295","US",21.307,-157.8584,2020-01-22,0
"296","US",42.3345,-122.7647,2020-01-22,0
"297","US",47.7425,-123.304,2020-01-22,0
"298","US",34.3672,-80.5883,2020-01-22,0
"299","US",42.6953,-121.6142,2020-01-22,0
